Código	Foto Evento	Evento	QR-code Fotos	Link Fotos	Promoção	Local	Endereço	Cidade	Estado	Data de Início	Data de Término	Ano	Responsável	Tipo de Apresentação	Tipo de Exposição	Link  1 de Reportagem	Link 2 de Reportagem	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado
E096		Mostra de Profissões			PEN - UEM	Universidade Estadual de Maringá, Estacionamento da Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	10/04/13	11/04/13	2013	PET-Matemática-UEM	Mostra de Objetos															
E097		UEM NA REGIÃO			PEC - UEM	Anfiteatro Vânia Maria Simão	Rua Presidente Castelo Branco, SN	Atalaia	Paraná	23/05/13	24/05/13	2013	Júlio César Coelho e Maciel de Araújo Carlos	Exposição															
E098		Colégio Adventista de Maringá			MUDI - UEM	Colégio Adventista de Maringá	Rua Luiz Gama, 818, Zona 04	Maringá	Paraná	03/07/13	03/07/13	2013	Júlio César Coelho	Exposição															
E099		III Encontro Hotel de Hilbert - OBMEP			IMPA	Hotel Bucsky	Rua Ponte da Saudade	Nova Friburgo	Rio de Janeiro	01/08/13	05/08/13	2013	João Roberto Gerônimo	Exposição															
E100		Sebastião - Caderno de Extensão			PEC - UEM	Universidade Estadual de Maringá, Pró-Reitoria de Extensão e Cultura, Diretoria de Extensão, Bloco A-34	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/08/13	01/08/13	2013	João Roberto Gerônimo	Publicação															
E101		XXIV Semana da Matemática			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	06/08/13	08/08/13	2013	Cláudia Juliana Fanelli Gonçalves  e Maciel de Araújo Carlos	Minicurso															
E102		XI Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	07/08/13	09/08/13	2013	André Bisca Ferreira, Deivid Flávio, Iara Fragal, Jair Guilherme Certório, Leonardo dos Santos Lara, Lucas Lara e Mariane Merim	Pôster															
E103		XI Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	07/08/13	09/08/13	2013	Evandro Mathias Friedrichsen	Pôster															
E104		XI Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	07/08/13	09/08/13	2013	Lucas Belluci Medalha, Cleber Peres Rodrigues e Arthur Duarte Feitosa	Pôster															
E105		XXIV Semana da Matemática			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	08/08/13	08/08/13	2013	PET-Matemática-UEM	Gincana															
E106		PET nas Escolas			UNIPET - UEM	Colégio Estadual Independência	Rua Duque de Caxias, 1410, Jardim Independencia	Maringá	Paraná	29/08/13	29/08/13	2013	PET-Matemática-UEM	Gincana															
E107		II Semana Acadêmica			DMA - UEM	Faculdade Estadual de Ciências Econômicas de Apucarana	Avenida Minas Gerais, 5021, Núcleo Habitacional Adriano Correia	Apucarana	Paraná	06/08/13	07/08/13	2013	Cláudia Juliana Fanelli Gonçalves 	Exposição															
E108		II Semana Acadêmica			DMA - UEM	Faculdade Estadual de Ciências Econômicas de Apucarana	Avenida Minas Gerais, 5021, Núcleo Habitacional Adriano Correia	Apucarana	Paraná	07/08/13	07/08/13	2013	João Roberto Gerônimo	Mesa Redonda															
E109		I Ciclo de Palestras em Educação Matemática 2012/2013			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	25/09/13	25/09/13	2013	João Roberto Gerônimo	Palestra															
E110		MUDI ITINERANTE			MUDI - UEM	Escola Estadual Peri Martins	Avenida Presidente Prudente, 129, Jardim Santa Maria	Bataguassu	Mato Grosso do Sul	26/09/13	27/09/13	2013	Maciel de Araújo Carlos	Mostra de Objetos															
E111		Matemática em Exposição			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/10/13	01/10/13	2013	Cláudia Juliana Fanelli Gonçalves  e Maciel de Araújo Carlos	Minicurso															
E112		Matemática em Exposição			PIBID - DMA - UEM	Universidade Estadual de Maringá, Centro de Aplicação Pedagógica - CAP	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	09/10/13	10/10/13	2013	Cláudia Juliana Fanelli Gonçalves  e Júlio César Coelho	Exposição															
E113		Matemática em Exposição			DMA - UEM	Colégio SESI/SENAI	Travessa Um, 63, Zona 5, Armazéns	Cianorte	Paraná	17/10/13	18/10/13	2013	João Roberto Gerônimo e Júlio César Coelho	Exposição															
E114		VIII Simpósio de Matemática			DMA - UEM	Universidade Estadual Paulista Júlio de Mesquita Filho, Campus Presidente Prudente	Rua Roberto Simonsen, 305, Centro	Presidente Prudente	São Paulo	21/10/13	22/10/13	2013	João Roberto Gerônimo e Júlio César Coelho	Exposição															
E115		EAIC Júnior			PPG - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	18/11/13	19/11/13	2013	Etienne Henrique Brasão Martins, Virginia de Oliveira Passos, Leonardo Deganello de Souza e João Pedro Braido do Nascimento	Comunicação															
E116		EAIC Júnior			PPG - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	18/11/13	19/11/13	2013	Ana Claudia Piekarski, Gustavo Tadao Iamada e Tauanna Pereira Lins	Comunicação															
E117		FICIÊNCIAS 2013			MUDI - UEM	Usina Hidrelétrica Itaipu	Avenida Tancredo Neves, SN, Jardim Itaipu	Foz do Iguaçu	Paraná	19/11/13	23/11/13	2013	Maciel de Araújo Carlos	Mostra de Objetos															
E118		Curso de Verão 2014 - UEM			PMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	06/01/14	06/01/14	2014	João Roberto Gerônimo	Exposição															
E119		Matemativa - Cônicas			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	10/05/14	10/05/14	2014	João Paulo Costalonga	Exposição															
E120		12º. Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	04/06/14	06/06/14	2014	Lucas 	Pôster															
E121		12º. Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	04/06/14	06/06/14	2014	Iara Cristina Fragal	Pôster															
E122		12º. Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	04/06/14	06/06/14	2014	Lennon José Gazola dos Santos, Franciele Cristina Almeida e Ferdinanda Brito Martinez	Pôster															
E123		PET na Praça			UNIPET - UEM	Shopping Cidade Maringá	Avenida Tuiuti, 710, Zona 37	Maringá	Paraná	23/05/14	23/05/14	2014	PET-Matemática-UEM	Mostra de Objetos															
E124		Mostra de Profissões -UEM			PEN - UEM	Universidade Estadual de Maringá, Estacionamento da Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	06/08/14	07/08/14	2014	PET-Matemática-UEM	Mostra de Objetos															
E125		Comissão de Apoio ao Comitê Acadêmico			DMA - UEM	Instituto de Matemática Pura e Aplicada	Estrada Dona Castorina, 110, Jardim Botânico	Rio de Janeiro	Rio de Janeiro	02/07/14	05/11/15	2014	João Roberto Gerônimo	Comissão de Apoio															
E126		MUDI ITINERANTE			MUDI - UEM	Colégio Estadual Comendador Geremias Lunardelli	Avenida Brasil, 974	Grandes Rios	Paraná	27/08/14	29/08/14	2014	Júlio César Coelho	Mostra de Objetos															
E127		XII Encontro Paranaense de Educação Matemática			DMA - UEM	UNESPAR - Campo Mourão, Departamento de Matemática - Bloco D -  Sala 05	Avenida Comentador Norberto Marcondes, 733	Campo Mourão	Paraná	04/09/14	06/09/14	2014	Júlio César Coelho	Exposição															
E128		XXV Semana da Matemática			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	15/09/14	19/09/14	2014	PET-Matemática-UEM	Exposição															
E129		MUDI ITINERANTE			MUDI - UEM	Escola Estadual Peri Martins	Avenida Presidente Prudente, 129, Jardim Santa Maria	Bataguassu	Mato Grosso do Sul	25/09/14	26/09/14	2014	Maciel de Araújo Carlos	Mostra de Objetos															
E130		MUDI ITINERANTE			MUDI - UEM	Colegio Estadual do Campo José Marti	Assentamento 8 de Abril	Jardim Alegre	Paraná	08/10/14	09/10/14	2014	Lucas Maurício Ruan	Mostra de Objetos															
E131		Matemática em Exposição			PIBID - DMA - UEM	Colégio Estadual Vital Brasil	Rua Marechal Deodoro, 865, Zona 07 	Maringá	Paraná	14/10/14	14/10/14	2014	PIBID-Matemática-UEM	Exposição															
E132		Matemática em Exposição			PIBID - DMA - UEM	Colégio Estadual Tomaz Edson de Andrade Vieira	Rua Das Tipuanas, 621, Zona 44	Maringá	Paraná	14/10/14	14/10/14	2014	PIBID-Matemática-UEM	Exposição															
E133		O Uso de Materiais e Atividades do LEM para o Ensino Profissionalizante			NRE - Maringá - PR	Instituto de Educação Estadual de Maringá	Rua Martim Afonso, 50, Zona 17	Maringá	Paraná	16/10/14	06/11/14	2014	João Roberto Gerônimo	Minicurso															
E134		PET nas Escolas			UNIPET - UEM	Colégio Estadual Jardim Independência	Rua Duque de Caxias , 1410 , Jardim Panorama	Sarandi	Paraná	16/10/14	16/10/14	2014	PET-Matemática-UEM	Gincana															
E135		Exposição de Matemática			DMA - UEM	Instituo Adventista do Paraná	Rua Gleba Paiçandu, 80	Ivatuba	Paraná	19/10/14	19/10/14	2014	Júlio César Coelho	Exposição															
E136		FICIÊNCIAS 2014			MUDI - UEM	Usina Hidrelétrica Itaipu	Avenida Tancredo Neves, SN, Jardim Itaipu	Foz do Iguaçu	Paraná	11/11/14	14/11/14	2014	Maciel de Araújo Carlos	Mostra de Objetos															
E137		XIII Semana da Matemática			DMA - UEM	UNESPAR - Campus de Paranavaí	Avenida Gabriel Esperidião, SN	Paranavaí	Paraná	17/11/14	21/11/14	2014	Júlio Cesar Coelho e Cláudia Juliana Fanelli Gonçalves 	Oficina															
E138		XIII Semana da Matemática			DMA - UEM	UNESPAR - Campus de Paranavaí	Avenida Gabriel Esperidião, SN	Paranavaí	Paraná	17/11/14	21/11/14	2014	Júlio Cesar Coelho e Cláudia Juliana Fanelli Gonçalves 	Exposição															
E139		Capítulo de Livro			INTERCIÊNCIAS	Universidade Federal do Mato Grosso do Sul, Campus Três Lagoas	Avenida Capitão Olinto Mancini, 1662	Três Lagoas	Mato Grosso do Sul	01/01/14	31/12/14	2014	Fernando Pereira de Souza e Ricardo Ribeiro dos Santos	Publicação															
E140		Exposição de Matemática			Colégio Bom Pastor	Colégio Bom Pastor	Rua Pioneiro Jacy Gama, 778, Jardim Santa Helena	Maringá	Paraná	26/11/14	26/11/14	2014	Jéssica Buzato Prudêncio	Mostra de Objetos															
E141		Curso de Verão 2015 - UEM			PMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	12/02/15	12/02/15	2015	João Roberto Gerônimo	Exposição															
E142		Semana de Integração - UEM			PEN - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	21/03/15	21/03/15	2015	João Roberto Gerônimo	Exposição															
E143		III Colóquio de Matemática da Região Sudeste			Departamento de Matemática - UFU	UFU - Câmpus de  Uberlândia	Avenida João Naves de Ávila, 2121, Bairro Santa Mônica	Uberlândia	Minas Gerais	13/04/15	17/04/15	2015	João Roberto Gerõnimo	Exposição															
E144		PET na Praça			UNIPET - UEM	Shopping Cidade Maringá	Avenida Tuiuti, 710, Zona 37	Maringá	Paraná	03/07/15	03/07/15	2015	PET-Matemática-UEM	Mostra de Objetos															
E145		Mostra de Objetos			Colégio Estadual “Duque de Caxias” – Ensino Fundamental e Médio	Colégio Estadual “Duque de Caxias” – Ensino Fundamental e Médio	Rua Mal. Mascarenhas de Moraes, 925, Jardim Alvorada	Maringá	Paraná	14/09/15	14/09/15	2015	César Postingel Ramos	Mostra de Objetos															
E146		X Simpósio de Matemática			DMA - UEM	Universidade Estadual Paulista Júlio de Mesquita Filho, Campus Presidente Prudente	Rua Roberto Simonsen, 305, Centro	Presidente Prudente	São Paulo	05/10/15	08/10/15	2015	3  monitores	Exposição															
E147		Oficina de Matemática para 6º 7º 8º e 9º Anos			Escola Estadual Ipiranga Ensino Fundamental	Escola Estadual Ipiranga Ensino Fundamental	Rua Campos Sales, 953, Zona 07	Maringá	Paraná	15/10/15	15/10/15	2015	10  monitores	Exposição															
E148		Mostra de Profissões - Rotary			Rotary Club - Maringá - PR	UNICESUMAR	Avenida Guedner, 1610, Jardim Aclimação	Maringá	Paraná	16/10/15	16/10/15	2015	Ivna Gurninski	Mostra de Objetos															
E149		Exposição			UFPR - Jandaia do Sul 	UFPR - Campus de Jandaia do Sul	Rua Doutor João Maximiano, 426, Vila Operária	Jandaia do Sul	Paraná	21/10/15	21/10/15	2015	8 monitores	Exposição															
E150		2ª Feira de Ciência, Tecnologia e Inovação de Pato Branco - Inventum 2015			UTF - Pato Branco - PR	Parque de Exposições	Rua Benjamin Borges dos Santos, 111, Bairro Fraron	Pato Branco	Paraná	03/11/15	07/11/15	2015	7 monitores	Exposição															
E151		Mostra de Profissões UEM			PEN - UEM	Universidade Estadual de Maringá, Centro de Aplicação Pedagógica - CAP	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	05/11/15	06/11/15	2015	PET-Matemática-UEM	Mostra de Objetos															
E152		13º. Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	17/11/15	18/11/15	2015	Iara Cristina Fragal e Mariane Vieira Merim	Pôster															
E153		13º. Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	17/11/15	18/11/15	2015	Higor Augusto Dias da Silva, Ferdinanda Brito Martinez, Franciele Cristina de Almeida, Lennon Gazola dos Santos e Paulo dos Santos	Pôster															
E154		Exposição de objetos para Olímpiadas			TIME -  DMA - UEM	Câmara de Vereadores	Avenida Papa João XXIII, 239, Zona 2	Maringá	Paraná	23/11/15	30/11/15	2015	12 monitores	Mostra de Objetos															
E155		Curso de Verão e XXV Semana da Matemática			PMA/DMA	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	12/01/16	16/01/16	2016	4 monitores	Exposição															
E156		Curso de Extensão - Um Estudo das Cônicas através da Exposição MATEMATIVA			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	14/05/16	09/07/16	2016	Patricia Vilar Vitor Salinas	Minicurso															
E157		PET na Praça			UNIPET - UEM	Shopping Cidade Maringá	Avenida Tuiuti, 710, Zona 37	Maringá	Paraná	25/05/16	26/06/16	2016	PET-Matemática-UEM	Mostra de Objetos															
E158		Oficinas de Matemática			DMA/NRE Maringá-PR	Colégio Gastão Vidigal	Rua Líbero Badaró, 252, Zona 7	Maringá	Paraná	07/08/16	07/08/16	2016	João Roberto Gerônimo	Oficina															
E159		Oficinas de Matemática			DMA/NRE Maringá-PR	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	09/08/16	09/08/16	2016	João Roberto Gerônimo	Oficina															
E160		Exposição e Ciclo de Oficinas			DMA - UEM	Colégio Estadual Cyro Pereira de Camargo	Rua Manoel Abrantes Filho, 191, Centro	Iguaraçu	Paraná	30/08/16	30/08/16	2016	João Roberto Gerônimo	Exposição															
E161		Mostra de Profissões UEM			PEN - UEM	Universidade Estadual de Maringá, Centro de Aplicação Pedagógica - CAP	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	22/09/16	23/09/16	2016	PET-Matemática-UEM	Mostra de Objetos															
E162		MUDI ITINERANTE			MUDI - UEM	Colégio Dirce de Aguiar Maia	Rua Senador Accioly Filho, 197, Vila Santa Izabel	Maringá	Paraná	10/10/16	10/10/16	2016	Patricia Vilar Vitor Salinas	Mostra de Objetos															
E163		PET nas Escolas			UNIPET - UEM	Colégio Estadual Alfredo Moisés Maluf	Rua Arlindo Marquezini, 654, Conjunto Habitacional Hermann Moraes de Barros	Maringá	Paraná	14/10/16	14/10/16	2016	PET-Matemática-UEM	Gincana															
E164		CIPEM			UTFPR - Campo Mourão	Universidade Tecnológica Federal do Paraná	Via Rosalina Maria dos Santos, 1233	Campo Mourão	Paraná	19/10/16	19/10/16	2016	João Roberto Gerônimo	Exposição															
E165		FICIÊNCIAS 2016			MUDI - UEM	Hotel Golden Park Internacional	Rua Almirante Barroso, 2006, Centro	Foz do Iguaçu	Paraná	08/11/16	11/11/16	2016	Patricia Vilar Vitor Salinas	Exposição															
E166		14º Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	02/12/16	03/12/16	2016	Higor Augusto Dias da Silva, Carlos Henrique Torres Simino Daniel Filipe Sanches Coelho  e Carlos Henrique Torres Simino	Pôster															
E167		14º Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	02/12/16	03/12/16	2016	Walker Mendes, Lennon Gazola dos Santos e Paulo dos Santos	Pôster															
E168		MUDI ITINERANTE			MUDI - UEM	Colegio Estadual do Campo José Marti	Assentamento 8 de Abril	Jardim Alegre	Paraná	06/07/17	07/07/17	2017	Walker Mendes e Matheus Barbosa Mercado	Mostra de Objetos															
E169		Cônicas em Exposição			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	26/07/17	26/07/17	2017	Walmir Ruis Salinas Junior	Exposição															
E170		Seminários do PET - Matemática - UEM			PET - DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	02/08/17	02/08/17	2017	João Roberto Gerônimo	Palestra															
E171		XXVIII Semana da Matemática			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	24/08/17	25/08/17	2017	João Roberto Gerônimo	Exposição															
E172		XXVIII Semana da Matemática			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	23/08/17	23/08/17	2017	Walmir Ruis Salinas Junior	Pôster															
E173		I Feira de Matemática			CE Humbeto de Campos	Colégio Estadual Humberto de Campos	Rua Pedro Ortolani, 21, Centro	Atalaia	Paraná	24/08/17	24/08/17	2017	Júlio César Coelho	Mostra de Objetos															
E174		I Festival da Matemática			UTFPR - Cornélio Procópio	Universidade Tecnológica Federal do Paraná, Campus Cornélio Procópio,	Avenida Alberto Carazzai, 1640,  Centro	Cornélio Procópio	Paraná	30/08/17	31/08/17	2017	João Roberto Gerônimo	Exposição															
E175		11a. Mostra de Profissões UEM			PEN - UEM	Universidade Estadual de Maringá, Centro de Aplicação Pedagógica - CAP	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	21/09/17	22/09/17	2017	Júlio César Coelho	Mostra de Objetos										15000	0	-	-	0	0
E176		Semana do Professor de Matemática			IMECC - UNICAMP	Universidade Estadual de  Campinas	Rua Sérgio Buarque de Holanda, 651, Cidade Universitária	Campinas	São Paulo	02/10/17	05/10/17	2017	João Roberto Gerônimo	Exposição										120	0	0	0	120	0
E177		Semana do Professor de Matemática			IMECC - UNICAMP	Universidade Estadual de  Campinas	Rua Sérgio Buarque de Holanda, 651, Cidade Universitária	Campinas	São Paulo	03/10/17	03/10/17	2017	João Roberto Gerônimo	Minicurso										35	0	0	0	35	0
E178		II Exposição e Ciclo de oficinas			DMA - UEM	Escola Estadual Juscelino Kubitschek de Oliveira	Avenida Dr. Luiz Teixeira Mendes, 3057, Zona 05	Maringá	Paraná	06/10/17	06/10/17	2017	João Roberto Gerônimo	Exposição															
E179		XV Fórum de Extensão			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	09/10/17	10/10/17	2017	Walmir Ruis Salinas Junior	Pôster															
E180		Matemativa na Escola			DMA - UEM	Colégio Estadual Independência	Rua Duque de Caxias, 1410, Jardim Independencia	Sarandi	Paraná	10/10/17	10/10/17	2017	Júlio Cesar Coelho	Mostra de Objetos															
E181		Inventum 2017			UTFPR - Pato Branco	Parque de Exposições	Rua Benjamin Borges dos Santos, 460 Fraron	Pato Branco	Paraná	13/10/17	18/10/17	2017	Júlio César Coelho	Exposição															
E182		Matemativa na Escola			DMA - UEM	Colégio Adventista de Maringá	Rua Luiz Gama, 818, Zona 4	Maringá	Paraná	22/10/17	22/10/17	2017	Júlio César Coelho	Mostra de Objetos															
E183		Encontro do ProfMat			DMA  - ProfMat - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	09/03/18	09/03/18	2018	João Roberto Gerônimo	Palestra															
E184		Encontro do ProfMat			DMA - ProfMat - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	09/03/18	09/03/18	2018	Júlio César Coelho	Exposição															
E185		1º Encontro do TIME 2018			TIME -  DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco E90	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	10/03/18	10/03/18	2018	Júlio César Coelho	Exposição															
E186		Semana de Integração - DMA			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	14/03/18	14/03/18	2018	Júlio César Coelho	Exposição															
E187		Matemática das Coisas - UNATI 			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	20/03/18	20/03/18	2018	Júlio César Coelho	Exposição															
E188		Encontro do PNAIC			UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	12/04/18	12/04/18	2018	Júlio César Coelho	Exposição															
E189		Festival de Matemática			SESC - Maringá - PR	SESC - Maringá - PR	Avenida Colombo, 6.020	Maringá	Paraná	04/05/18	07/05/18	2018	Júlio César Coelho	Exposição															
E190		Matemativa na Escola			DMA - UEM	CEEBJA 	Avenida Antônio Volpato, 1488, Centro	Sarandi	Paraná	15/05/18	15/05/18	2018	Júlio César Coelho	Mostra de Objetos															
E191		MUDI ITINERANTE			MUDI - UEM	Colégio Estadual Marechal Arthur da Costa e Silva - Ensino Médio	Rua São Paulo, 341	Santa Fé	Paraná	24/05/18	25/05/18	2018	Júlio César Coelho	Mostra de Objetos															
E192		PET na Praça			UNIPET - UEM	Parque do Ingá	Avenida São Paulo, 172 - 509, Centro	Maringá	Paraná	01/07/18	01/07/18	2018	Júlio César Coelho	Mostra de Objetos															
E193		EAEX 2018			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	09/08/18	09/08/18	2018	Júlio César Coelho	Pôster															
E194		Matemativa na Escola			DMA - UEM	Instituo Adventista do Paraná	Rua Gleba Paiçandu, 80	Ivatuba	Paraná	28/08/18	28/08/18	2018	Júlio César Coelho	Exposição															
